name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,lat,long,place_name
RQC00666992,62.5,62.2,62.8,63.9,65.6,66.7,67.1,67.8,68,67.4,65.8,63.7,18.2708,-65.7592,PR PICO DEL ESTE
RQC00667292,77,76.7,77.1,78.7,80.4,81.9,82.3,82.5,81.9,81.1,79.7,77.9,18.0258,-66.5253,PR PONCE 4 E
RQC00668126,74.9,76.1,76.3,77.9,80.2,81,81.4,81,81.1,79.1,78.3,76.8,18.3375,-67.2497,PR RINCON
RQC00668306,75.5,75.6,76.6,77.9,79.9,81.4,81.5,81.9,81.5,80.9,78.7,76.6,18.3906,-66.0542,PR RIO PIEDRAS EXP STN
RQC00668881,75.3,75.1,76.3,77.6,79.5,80.5,80.5,80.4,80.3,79.7,78.3,76.4,18.3469,-67.0119,PR SAN SEBASTIAN 2 WNW
RQC00669521,75.7,75.6,76.4,78,79.8,81.3,81.4,81.6,81.6,80.8,78.8,76.5,18.3283,-66.0164,PR TRUJILLO ALTO 2 SSW
RQC00669608,72.3,71.8,72.7,74.1,76.5,77.5,78.2,78.3,78,77.3,75.5,73.3,18.2617,-66.6864,PR UTUADO
RQW00011603,75.8,75.9,76.6,78.1,79.3,81,80.9,81.4,81.1,80.2,79,77,18.4981,-67.1294,PR BORINQUEN AP
RQW00011630,77.7,77.5,78.4,79.9,81.3,82.9,83.4,83.7,82.9,82.1,80.4,78.7,18.255,-65.6408,PR ROOSEVELT ROADS
RQW00011641,77.6,77.9,78.9,80.3,81.9,83.3,83.4,83.7,83.5,82.6,80.6,78.7,18.4325,-66.0108,PR SAN JUAN L M MARIN AP
USC00010063,39.7,43.7,51.5,59.6,67.8,74.9,78.4,78.3,71.8,60.7,51.5,42.3,34.2553,-87.1814,AL ADDISON
USC00010160,43.4,47,54.4,61.3,69.6,76.7,80.1,79.2,73.4,63,54,45.6,32.9453,-85.9481,AL ALEXANDER CITY
USC00010178,43.4,47.2,55.3,62.7,70.5,78.1,80.9,80.5,74.7,63.7,54.3,45.8,33.1272,-88.155,AL ALICEVILLE
USC00010252,46.6,50.2,56.5,62.5,70.5,77.3,79.6,79.3,74.7,64.8,56,48.8,31.3072,-86.5225,AL ANDALUSIA 3 W
USC00010260,37.7,41.3,50.1,58.8,67.1,74.7,78.5,77.8,71.2,60,50,40.4,34.9092,-87.2747,AL ANDERSON
USC00010369,42,45.9,52.9,59.9,67.8,74.7,78,77.6,71.6,61.4,52.7,44.1,33.2942,-85.7789,AL ASHLAND 3 ENE
USC00010390,40.2,44.5,52,60.4,68.8,76.1,79.5,79.1,73,61.6,51.7,42.9,34.7753,-86.9508,AL ATHENS
USC00010402,48.1,51.7,58.6,65.1,73.2,79,81.1,80.6,76.2,67,58.1,50.3,31.1819,-87.4389,AL ATMORE
USC00010425,44.9,49.8,55.7,62.5,70.7,77.5,80.4,79.5,74.4,64.3,55.2,46.7,32.5992,-85.4653,AL AUBURN NO.2
USC00010430,45,48.8,56,62.9,71.4,77.7,80.6,80.2,75.1,65.8,56.4,47.3,32.6,-85.5,AL AUBURN AGRONOMY FARM
USC00010505,42.8,47,54,61.4,69.8,77.4,80.6,80.2,74.3,63.5,54.1,45.4,33.4528,-87.3572,AL BANKHEAD LOCK & DAM
USC00010583,49.5,53,59.5,66.2,73.7,79.3,81.2,81,77,67.8,59.2,51.6,30.8839,-87.7853,AL BAY MINETTE
USC00010655,38.7,42.4,50.4,58.8,67.7,75.2,78.3,77.6,71.1,60.1,50.1,41.2,34.6892,-86.8819,AL BELLE MINA 2 N
USC00010764,43.2,47.2,54.5,61.9,70.3,77.1,80.5,80.1,74.1,63.3,53.7,45.5,33.3953,-87.0078,AL BESSEMER 3 WSW
USC00011080,47.5,50.9,57.7,63.9,72.2,78.5,80.6,80.1,75.6,65.7,57,49.6,31.1414,-87.0486,AL BREWTON 3 ENE
USC00011084,49.1,52.5,58.7,64.7,72.4,78.6,80.9,80.7,75.8,66.1,57.6,50.7,31.0583,-87.055,AL BREWTON 3 SSE
USC00011099,38.1,42.5,50.3,58.7,66.9,74.3,78,77.2,70.8,59.3,50,40.6,34.9786,-85.8008,AL BRIDGEPORT 5 NW
USC00011301,46,49.9,57.5,64.5,72.3,78.8,81,80.7,75.9,65.6,56.2,48.2,32.0289,-87.3167,AL CAMDEN 3 NW
USC00011324,40.8,46,52.8,59.6,67.7,75.1,78.5,77.5,72.4,60.8,52.2,43.9,32.8236,-85.6561,AL CAMP HILL 2NW
USC00011490,39.3,42.9,51.1,59.1,67,75,78.6,77.9,71.8,60.5,50.7,41.5,34.15,-85.6847,AL CENTRE
USC00011566,46.3,49.8,57,64.1,71.8,77.6,80.6,80.1,74.9,65.2,56.2,48.5,31.4714,-88.2503,AL CHATOM
USC00011620,44.7,48.6,55.8,62.7,70.3,77,80,79.3,73.7,63.5,54.4,46.8,33.285,-86.3431,AL CHILDERSBURG WTR PL
USC00011694,43.1,46.9,54.5,61.4,69.7,76.4,79.6,78.9,73.2,62.7,53.4,45.4,32.8203,-86.6522,AL CLANTON
USC00011725,44.9,48.9,55.8,62.1,70.1,76.9,79.3,78.6,73.8,64.3,55.6,47.4,31.8708,-85.45,AL CLAYTON
USC00011803,49.2,52.3,58,64.6,72.2,77.9,80.1,80,76.1,67.3,58.5,51.6,30.3875,-88.2269,AL CODEN
USC00012096,39.4,43.2,50.7,58.7,66.9,74.4,77.9,77.5,71.5,60.4,50.9,41.8,34.1925,-86.7972,AL CULLMAN NAHS
USC00012172,52.2,55,61.3,68.3,76.3,81.6,83.5,83.5,80.4,71.9,62.9,55,30.2506,-88.0775,AL DAUPHIN ISLAND #2
USC00012209,41.3,45.1,52.8,61.4,68.8,76,79.2,79.2,72.9,62.5,52.3,43.7,34.5569,-86.9503,AL DECATUR 5SE
USC00012245,43.5,47.3,54.7,62.1,70.6,77.1,79.9,79.5,74,63.5,54,45.7,32.5192,-87.88,AL DEMOPOLIS L&D
USC00012675,49,53,59.5,65.7,73.7,79.5,81.4,81,76.9,68,59.3,51.4,31.2975,-85.8997,AL ENTERPRISE 4 W
USC00012730,48.2,52,58.7,64.7,72.8,79.7,82.3,81.7,76.7,66.7,57.8,50.3,32.0111,-85.09,AL EUFAULA WILDLIFE REF
USC00012758,47.2,50.7,57.5,64,72.1,78.3,80.5,80.2,75.7,66.1,56.9,49.4,31.445,-86.9533,AL EVERGREEN
USC00012813,50.4,53.7,60,66.3,74.1,79.9,81.9,81.7,77.7,68.7,60.2,52.7,30.5467,-87.8808,AL FAIRHOPE 2 NE
USC00012840,39.7,43.5,51.7,59.4,67.5,75.1,79.1,78.5,71.2,60.2,50.9,41.4,34.3667,-86.8833,AL FALKVILLE 1 E
USC00012883,43.3,47.6,54.8,62.2,70,77.7,81.1,80.2,74,63,53.5,45.6,33.6847,-87.8214,AL FAYETTE
USC00013043,40.6,44.4,52.6,60.1,68.5,76,79.4,79.3,73.2,62.2,52.1,42.9,34.4406,-85.7236,AL FT PAYNE
USC00013105,47.6,51.2,57.6,64.5,72.7,78.1,80.3,79.8,75.6,66,57.4,49.5,31.3894,-87.4203,AL FRISCO CITY 3 SSW
USC00013154,41.3,45.4,53.4,61.5,69.8,77.1,80.7,80,73.8,62.9,52.5,44,34.0219,-85.9878,AL GADSDEN
USC00013160,44.1,48.1,55.4,62.8,71.4,78.4,81.6,81.2,75.3,64.4,54.5,46.3,32.8347,-88.1342,AL GAINESVILLE LOCK
USC00013251,48.2,51.9,58.5,64.6,72.8,78.9,80.9,80.4,76.2,66.7,57.9,50.4,31.0383,-85.8708,AL GENEVA #2
USC00013511,46.9,51.3,58,64.7,72.7,79.7,82.5,82.1,76.7,66.3,56.7,49.1,32.7019,-87.5817,AL GREENSBORO
USC00013519,45.5,49.2,55.7,62.5,70.6,76.8,79.3,79,74.4,64.7,55.6,47.5,31.79,-86.6086,AL GREENVILLE
USC00013573,41.1,44.6,52.4,60.4,69,76.6,80.1,79.9,73.6,62.7,52.5,43.4,34.3344,-86.3297,AL GUNTERSVILLE
USC00013575,40.8,44.8,52.9,61.1,69.3,76.7,80.1,79.8,73.9,63.4,52.7,43.9,34.3347,-86.3294,AL GUNTERSVILLE NO.2
USC00013620,42.5,46.3,54.7,62.7,70.7,77.7,81.2,81.1,74.9,64.4,54.3,45.1,34.2314,-87.6353,AL HALEYVILLE
USC00013645,39.3,43.3,51.2,59.1,67.8,75.4,79.1,78.8,72.3,60.8,50.7,41.8,34.0967,-87.9914,AL HAMILTON 3 S
USC00013655,41.4,44.7,52.8,60.6,68.6,75.8,79.3,78.7,72.4,61.8,52,42.8,34.0672,-86.7911,AL HANCEVILLE
USC00013761,48.5,52.4,59.4,65.9,74.3,80,81.8,80.9,76.5,67.3,58.7,50.8,31.3625,-85.3397,AL HEADLAND
USC00013775,40.9,44.6,52.2,59.3,67.4,74.7,78.1,77.6,71.4,60.9,51.5,43.1,33.6483,-85.6006,AL HEFLIN
USC00013781,43.9,47.7,55,62.7,70.9,77.9,81.2,80.7,74.9,63.7,54.1,45.8,33.2725,-86.8336,AL HELENA
USC00013816,43.6,47.3,54.3,60.8,69.2,75.5,77.9,77.7,72.8,63.2,54.1,45.9,31.8814,-86.2503,AL HIGHLAND HOME
USC00014193,47,50.7,57.5,64.1,72,78.4,80.7,80.3,75.5,65.4,56.3,49.2,31.5253,-87.9278,AL JACKSON
USC00014226,40.8,44.5,52.6,60,68.4,75.8,79.3,79.1,72.7,61.1,51.6,43.1,33.9047,-87.3153,AL JASPER
USC00014502,42.5,46.5,53.6,60.6,68.6,75.6,78.8,78.1,72.2,62,52.7,44.4,32.9069,-85.4336,AL LAFAYETTE 2W
USC00014798,44.4,48.4,55.5,62.7,71,77.9,80.7,80.4,74.8,63.6,54.5,46.5,32.5811,-88.1897,AL LIVINGSTON
USC00015121,44.3,48.2,55.7,62.7,71.2,78,80.8,80.1,74.8,64.3,54.7,46.4,32.4714,-87.2314,AL MARION JUNCTION 2 NE
USC00015140,44.7,47.8,54.5,61.2,69.3,76.4,79.5,78.8,73.8,63.8,54.6,46.6,32.6667,-85.9167,AL MARTIN DAM
USC00015439,45.7,49.5,56.5,63,71.6,78.4,81.3,80.9,75.5,65.2,56.2,48.4,32.4419,-85.8889,AL MILSTEAD
USC00015553,46.3,50.5,57.1,63.7,71.8,78.3,80.9,80.6,75,64.7,56.2,48.4,32.26,-86.2181,AL MONTGOMERY 6SW
USC00015635,40.1,43.6,52.2,60.6,68.5,75.5,78.9,78.5,72.1,61.2,51.7,42.5,34.4883,-87.2989,AL MOULTON 2
USC00015752,38.1,41.8,50.2,58.7,67.4,74.8,78.5,77.7,71.2,59.9,50.3,40.7,34.7889,-87.5394,AL MUSCLE SHOALS 3 NE
USC00016000,43.1,46.9,54.9,61.8,69.9,76.7,79.9,79.2,73.6,61.7,54.2,44.8,33.3264,-86.7561,AL OAK MTN STATE PARK HQ
USC00016121,41.3,45,52.7,60.2,68.5,75.7,79.3,78.9,72.6,61.6,52.3,43.7,33.9478,-86.4692,AL ONEONTA
USC00016129,43.5,47,53.9,60.6,69,75.9,79.2,78.6,73,62.7,53.8,45.8,32.6592,-85.4492,AL OPELIKA
USC00016196,39.3,42.7,50.4,58.7,67,75.1,78.5,78.3,71.7,60.3,50.4,41.8,34.5528,-86.445,AL OWENS CROSS ROADS 3S
USC00016478,41.3,45.2,52.8,60.2,68.2,75.3,78.8,78.4,72.2,61.3,51.5,43.5,33.6906,-86.685,AL PINSON
USC00016988,49.5,52.7,59,65.1,73,79,81.1,80.9,76.6,67.4,58.9,51.7,30.5653,-87.7017,AL ROBERTSDALE
USC00017020,44.2,48,55.2,61.6,69.3,76.2,79,78.1,73.1,63.2,54,46.3,32.8711,-86.1758,AL ROCKFORD 3 ESE
USC00017025,42.5,46.7,54.4,61.2,68.7,75.7,78.6,77.6,71.6,61.4,52.2,45,33.1581,-85.2911,AL ROCK MILLS
USC00017131,40,43.4,51.5,59.4,67.7,75.3,79,78.6,72.2,60.9,51.4,42.3,34.51,-87.7319,AL RUSSELLVILLE NO 2
USC00017157,40.3,44.8,52.7,60.7,68.4,75.2,78.7,78.6,72,60.7,50.8,42.5,34.1736,-86.8133,AL SAINT BERNARD
USC00017207,39.2,43.1,51,58.7,67,74.4,77.7,77.2,70.9,60.2,50.7,41.7,34.2878,-85.9681,AL SAND MT SUBSTN
USC00017304,39.8,43.7,51.3,59.2,67.7,75.6,78.8,78.4,71.7,60.7,50.9,42.3,34.6736,-86.0536,AL SCOTTSBORO
USC00017366,46.4,50.2,57.1,63.7,72.3,79.1,81.7,81.3,76.2,65.9,56.2,48.2,32.4111,-87.0144,AL SELMA
USC00017999,42.3,45.9,53.6,60.5,68.8,75.7,78.9,78.1,72.4,61.4,52.5,44.4,33.2053,-86.2114,AL SYLACAUGA 4 NE
USC00018024,41.7,45.6,52.7,60.5,68.5,75.6,79.3,78.6,72.7,61.7,52.5,44.1,33.4164,-86.135,AL TALLADEGA
USC00018178,46.3,50.2,57.5,64.1,72.2,78.4,80.8,80.6,75.6,65.7,56.7,48.3,31.9169,-87.7347,AL THOMASVILLE
USC00018209,44.7,48.5,55.7,62.8,71.1,77.9,80.7,80.2,74.8,64.6,55.4,46.8,32.9206,-86.6708,AL THORSBY EXP STN
USC00018323,46.7,50.6,57.1,63.9,71.9,78.3,80.7,80.4,75.7,66.1,56.8,48.9,31.8075,-85.9722,AL TROY
USC00018380,45.6,49.8,57.4,64.4,72.5,79.3,82.4,82.1,76.5,65.6,55.9,47.8,33.2119,-87.6161,AL TUSCALOOSA ACFD
USC00018438,45.3,48.9,55.4,61.6,69.9,77,79.8,79.1,74,64,55,47.3,32.0142,-85.7464,AL UNION SPRINGS 9 S
USC00018469,38.4,42,49.3,57.1,65.9,73.9,77.6,77.1,70.6,59.5,49.9,40.8,34.5667,-85.6128,AL VALLEY HEAD
USC00018517,41.9,46.2,54,60.9,69.3,76.7,80,79.7,73.4,62.4,53.4,44.6,33.7392,-88.1275,AL VERNON
USC00018812,40.8,44.7,52.5,60.1,68,74.4,78.4,77.7,71.9,61.2,51.5,42.9,34.2447,-86.9586,AL WEST POINT
USC00018859,45.5,49.5,56.5,62.5,71,77.6,80.6,80.1,75.7,65.3,55.6,47.8,32.5906,-86.2103,AL WETUMPKA
USC00018867,45.9,49.2,56.4,63.4,71.3,77.7,80,79.9,74.7,64.7,55.9,48.2,31.6508,-87.7097,AL WHATLEY
USC00018998,39.6,43.3,51.4,58.9,67.6,75.1,78.5,78.1,71.9,60.6,51.1,42.3,33.9111,-87.8469,AL WINFIELD 2 SW
USC00020060,49,51.2,56,62.5,71.5,79.9,86.1,85.3,78.6,66.9,55.5,47.8,33.9433,-113.1875,AZ AGUILA
USC00020080,56.6,59.1,64.7,71.3,79.3,87.2,91.3,90.5,86.5,76.6,65.2,56.1,32.3697,-112.86,AZ AJO
USC00020100,51.1,54.8,60.9,68.3,78,86.7,92.7,91.3,84.5,72.3,59.4,50.3,34.2281,-113.5778,AZ ALAMO DAM
USC00020159,29.7,32.5,36.8,42.5,49.5,57,61.6,60.1,54.6,45.5,36.8,30.1,33.8492,-109.1469,AZ ALPINE
USC00020170,32.3,33.5,36.7,42.3,51.3,57.7,61.6,59.8,55.3,47.1,38.5,31.1,33.6392,-109.3278,AZ ALPINE 18 SW
USC00020287,49.4,52.1,56.8,63.3,71.8,80.8,84.2,82.2,77.6,67,56.3,49.1,31.9792,-111.3836,AZ ANVIL RCH
USC00020288,54.3,56.8,61.3,68,76.8,85.5,90.4,89.3,84.1,73.4,61.6,53.5,33.4625,-111.4814,AZ APACHE JUNCTION 5 NE
USC00020404,51.7,55.3,61.2,69.2,78,86.7,91.3,90,84.4,72.6,60,51,32.7306,-111.6917,AZ ARIZONA CITY
USC00020586,43.2,44.9,49.7,56.2,65.2,74,79.6,78.1,72.3,61.4,50.7,42.6,34.5972,-113.1739,AZ BAGDAD
USC00020632,54,57,61.4,67.9,77.2,85.4,90.9,90,84.3,74.4,62.5,54.7,33.8097,-111.6497,AZ BARTLETT DAM
USC00020670,43.1,46.7,51.8,59,67.7,76.9,81.2,79.3,73,61.4,50.5,42.2,34.6417,-111.7831,AZ BEAVER CREEK
USC00020672,46.9,51,57.5,64.7,74.5,83.6,90.1,88.8,80.8,68.2,55,45.6,36.8969,-113.9425,AZ BEAVER DAM
USC00020678,27,29.2,34.5,39.7,48.2,55.2,61.1,61.8,54.1,44.2,33.9,27,35.23,-111.8214,AZ BELLEMONT WFO
USC00020683,45.3,48.2,53,60,68.4,77,80.4,78.4,74.1,63,52.2,45.1,31.8806,-110.2403,AZ BENSON  6 SE
USC00020750,30.8,33.8,40.2,47.6,57.6,67.5,72.2,69.9,63.3,51.7,39.7,31.1,36.6778,-110.5411,AZ BETATAKIN
USC00020775,43.9,47,51.6,57.8,65.8,73.9,74.7,72.1,68.8,59.8,50.8,43.7,31.4475,-109.9289,AZ BISBEE 1WNW
USC00020808,35.4,37.9,42.5,49.5,58.4,67.8,71.7,70,64.5,53.8,42.8,35.5,33.4783,-109.7517,AZ BLACK RIVER PUMPS
USC00020871,30.3,33.9,38.4,45.1,53.8,62,67.9,65.6,59.4,48.6,38.7,30.3,34.6108,-111.1922,AZ BLUE RIDGE RS
USC00020949,51.2,55.2,61.4,68.8,77.9,86.4,92.6,91.3,84,71,58.3,49.8,33.9431,-114.0242,AZ BOUSE
USC00020958,45.9,49.9,55.5,62.6,71,79.6,82,79.8,74.9,64.5,53,45.4,32.325,-109.4917,AZ BOWIE
USC00021001,27.7,28.6,33.6,40.2,49,58,63.1,60.8,54.3,44.2,34.5,27.4,36.2147,-112.062,AZ BRIGHT ANGEL RS
USC00021026,53.1,56.8,62.2,69.2,78.3,86.5,91.9,91,84.3,72.2,59.9,51.9,33.3761,-112.5828,AZ BUCKEYE
USC00021050,55.2,58.9,64.9,72.5,82.1,90.5,96.2,95.1,87.7,75.3,62.8,54.2,35.1411,-114.5686,AZ BULLHEAD CITY
USC00021169,37,42.5,50.9,58.3,67.5,76.5,82.6,80.2,72.2,59.8,46.3,36.9,35.8833,-111.4,AZ CAMERON 1 NNE
USC00021231,43.4,45.9,50,56.4,64.4,72.6,74.8,72.6,68.8,59.9,50.2,43.4,31.5589,-110.5294,AZ CANELO 1 NW
USC00021248,31.3,36.8,44.7,52.2,61.5,70.3,76,73.8,65.8,53.3,41.1,31.7,36.1533,-109.5394,AZ CANYON DE CHELLY
USC00021282,53.5,55.6,60.6,67.5,76.6,85.4,89.8,88.6,83.5,72.5,61,52.7,33.8161,-111.9019,AZ CAREFREE
USC00021306,53.6,56.9,62.3,69.6,78.4,86.9,91.6,90.2,84.6,73,60.9,52.4,32.8878,-111.7117,AZ CASA GRANDE
USC00021314,51.7,54.8,60.4,67.8,77.2,85.8,91,89.6,84,72,59.3,50.8,32.9947,-111.5367,AZ CASA GRANDE NM
USC00021330,47.4,49.9,54.1,60.6,68.9,77.7,81.8,80.5,75.2,64.8,53.9,46.6,32.3222,-110.4147,AZ CASCABEL
USC00021353,54.4,56.6,60.9,66.9,75.6,84.2,89.1,87.8,82.8,72.4,61.5,53.6,33.9825,-112.3617,AZ CASTLE HOT SPRINGS
USC00021357,50.2,51.1,54.7,62.4,70.3,79.7,85,82.3,78,66.7,56,48.4,32.4178,-110.9303,AZ CATALINA SP
USC00021514,52.7,55.9,61.3,68.5,77.8,86.3,90.5,88.8,83.9,72.3,59.9,51.2,33.2058,-111.6819,AZ CHANDLER HEIGHTS
USC00021574,31.1,33.8,39.3,46.1,54.9,63.6,69,66.3,60.2,49.9,39.1,30.8,34.54,-110.9153,AZ CHEVELON RS
USC00021614,46.1,49.7,54.1,60.4,69.3,78.2,84,82.4,75.9,64.8,53.4,45.2,34.3494,-111.6981,AZ CHILDS
USC00021654,39.1,42,47.4,54.5,63,71.4,76.9,75.6,68.6,57.5,45.4,37.8,34.7569,-112.4567,AZ CHINO VALLEY
USC00021664,44,46.5,50.8,56.9,64.9,73.5,74.7,73,70.1,61.5,51.4,44.3,32.0061,-109.3572,AZ CHIRICAHUA NM
USC00021849,47,51.5,57.8,65.1,74.7,83.7,86.5,84.3,78.9,67.9,55.4,46.5,33.0561,-109.3072,AZ CLIFTON
USC00021920,34.7,38.7,44.4,51.4,60.3,69.9,76,74.2,67.1,55.3,43.2,34.1,36.9936,-112.9719,AZ COLORADO CITY
USC00022109,46.2,48,52,57.9,66.5,75.3,80.9,79.6,73.8,63.5,52.8,45.6,34.305,-112.165,AZ CORDES
USC00022140,45.4,48,52.6,59.2,67.2,75.1,75.7,73.3,70.5,62,52.5,45.5,31.3456,-110.2542,AZ CORONADO NM HQ
